,8000,7000,6000,5000,4500,4250,4000,3400,2900,2400,2150,1900,1500,1350,1150,1000,800,400,0
255,230,236,243,235,224,218,212,210,202,219,222,225,199,190,184,180,170,170,170
175,215,204,218,220,212,208,203,189,190,208,209,210,195,190,184,180,170,170,170
125,170,169,184,195,194,193,192,186,190,207,209,210,195,190,184,180,170,170,170
100,145,143,159,156,154,153,151,161,168,201,201,200,193,190,184,180,170,170,170
80,115,123,134,135,132,130,128,146,142,170,185,200,185,180,180,180,170,170,170
60,80,94,95,101,113,119,124,120,124,138,151,164,163,162,164,165,170,170,170
50,68,72,79,76,88,94,100,107,103,125,138,150,135,130,139,145,145,145,145
40,45,50,53,59,69,74,78,79,84,101,111,120,127,130,124,120,120,125,130
35,40,43,47,54,61,65,68,71,72,89,97,104,112,115,115,115,115,115,115
30,35,35,40,49,53,55,57,63,60,76,82,87,96,99,105,110,110,105,100
25,33,34,35,42,45,46,47,51,50,63,67,70,79,83,92,99,105,103,100
20,30,32,29,34,35,36,36,39,40,49,51,52,62,66,78,87,100,100,100
18,28,30,27,32,34,35,35,39,39,46,48,49,58,61,70,76,88,90,92
15,25,27,23,30,32,33,33,39,38,41,43,45,52,54,57,60,71,76,80
10,22,22,23,27,29,30,30,31,34,38,38,38,45,47,50,52,67,79,75
6,13,13,14,16,17,18,18,19,20,23,23,23,27,28,30,31,40,47,45
