x,y,07race
8000,255,230
8000,175,215
8000,125,170
8000,100,145
8000,80,115
8000,60,80
8000,50,68
8000,40,45
8000,35,40
8000,30,35
8000,25,33
8000,20,30
8000,18,28
8000,15,25
8000,10,22
8000,6,13
7000,255,236
7000,175,204
7000,125,169
7000,100,143
7000,80,123
7000,60,94
7000,50,72
7000,40,50
7000,35,43
7000,30,35
7000,25,34
7000,20,32
7000,18,30
7000,15,27
7000,10,22
7000,6,13
6000,255,243
6000,175,218
6000,125,184
6000,100,159
6000,80,134
6000,60,95
6000,50,79
6000,40,53
6000,35,47
6000,30,40
6000,25,35
6000,20,29
6000,18,27
6000,15,23
6000,10,23
6000,6,14
5000,255,235
5000,175,220
5000,125,195
5000,100,156
5000,80,135
5000,60,101
5000,50,76
5000,40,59
5000,35,54
5000,30,49
5000,25,42
5000,20,34
5000,18,32
5000,15,30
5000,10,27
5000,6,16
4500,255,224
4500,175,212
4500,125,194
4500,100,154
4500,80,132
4500,60,113
4500,50,88
4500,40,69
4500,35,61
4500,30,53
4500,25,45
4500,20,35
4500,18,34
4500,15,32
4500,10,29
4500,6,17
4250,255,218
4250,175,208
4250,125,193
4250,100,153
4250,80,130
4250,60,119
4250,50,94
4250,40,74
4250,35,65
4250,30,55
4250,25,46
4250,20,36
4250,18,35
4250,15,33
4250,10,30
4250,6,18
4000,255,212
4000,175,203
4000,125,192
4000,100,151
4000,80,128
4000,60,124
4000,50,100
4000,40,78
4000,35,68
4000,30,57
4000,25,47
4000,20,36
4000,18,35
4000,15,33
4000,10,30
4000,6,18
3400,255,210
3400,175,189
3400,125,186
3400,100,161
3400,80,146
3400,60,120
3400,50,107
3400,40,79
3400,35,71
3400,30,63
3400,25,51
3400,20,39
3400,18,39
3400,15,39
3400,10,31
3400,6,19
2900,255,202
2900,175,190
2900,125,190
2900,100,168
2900,80,142
2900,60,124
2900,50,103
2900,40,84
2900,35,72
2900,30,60
2900,25,50
2900,20,40
2900,18,39
2900,15,38
2900,10,34
2900,6,20
2400,255,219
2400,175,208
2400,125,207
2400,100,201
2400,80,170
2400,60,138
2400,50,125
2400,40,101
2400,35,89
2400,30,76
2400,25,63
2400,20,49
2400,18,46
2400,15,41
2400,10,38
2400,6,23
2150,255,222
2150,175,209
2150,125,209
2150,100,201
2150,80,185
2150,60,151
2150,50,138
2150,40,111
2150,35,97
2150,30,82
2150,25,67
2150,20,51
2150,18,48
2150,15,43
2150,10,38
2150,6,23
1900,255,225
1900,175,210
1900,125,210
1900,100,200
1900,80,200
1900,60,164
1900,50,150
1900,40,120
1900,35,104
1900,30,87
1900,25,70
1900,20,52
1900,18,49
1900,15,45
1900,10,38
1900,6,23
1500,255,199
1500,175,195
1500,125,195
1500,100,193
1500,80,185
1500,60,163
1500,50,135
1500,40,127
1500,35,112
1500,30,96
1500,25,79
1500,20,62
1500,18,58
1500,15,52
1500,10,45
1500,6,27
1350,255,190
1350,175,190
1350,125,190
1350,100,190
1350,80,180
1350,60,162
1350,50,130
1350,40,130
1350,35,115
1350,30,99
1350,25,83
1350,20,66
1350,18,61
1350,15,54
1350,10,47
1350,6,28
1150,255,184
1150,175,184
1150,125,184
1150,100,184
1150,80,180
1150,60,164
1150,50,139
1150,40,124
1150,35,115
1150,30,105
1150,25,92
1150,20,78
1150,18,70
1150,15,57
1150,10,50
1150,6,30
1000,255,180
1000,175,180
1000,125,180
1000,100,180
1000,80,180
1000,60,165
1000,50,145
1000,40,120
1000,35,115
1000,30,110
1000,25,99
1000,20,87
1000,18,76
1000,15,60
1000,10,52
1000,6,31
800,255,170
800,175,170
800,125,170
800,100,170
800,80,170
800,60,170
800,50,145
800,40,120
800,35,115
800,30,110
800,25,105
800,20,100
800,18,88
800,15,71
800,10,67
800,6,40
400,255,170
400,175,170
400,125,170
400,100,170
400,80,170
400,60,170
400,50,145
400,40,125
400,35,115
400,30,105
400,25,103
400,20,100
400,18,90
400,15,76
400,10,79
400,6,47
0,255,170
0,175,170
0,125,170
0,100,170
0,80,170
0,60,170
0,50,145
0,40,130
0,35,115
0,30,100
0,25,100
0,20,100
0,18,92
0,15,80
0,10,75
0,6,45
