x,y,ebr
8000,255,234
8000,175,219
8000,125,164
8000,100,134
8000,80,109
8000,60,84
8000,50,72
8000,40,49
8000,35,44
8000,30,39
8000,25,36
8000,20,34
8000,18,33
8000,15,32
8000,10,30
8000,6,26
7000,255,246
7000,175,229
7000,125,164
7000,100,143
7000,80,124
7000,60,99
7000,50,80
7000,40,54
7000,35,46
7000,30,39
7000,25,36
7000,20,34
7000,18,33
7000,15,32
7000,10,30
7000,6,26
6000,255,242
6000,175,218
6000,125,182
6000,100,159
6000,80,141
6000,60,112
6000,50,93
6000,40,65
6000,35,56
6000,30,44
6000,25,38
6000,20,31
6000,18,28
6000,15,27
6000,10,28
6000,6,26
5000,255,230
5000,175,217
5000,125,188
5000,100,161
5000,80,138
5000,60,116
5000,50,97
5000,40,75
5000,35,60
5000,30,50
5000,25,35
5000,20,36
5000,18,33
5000,15,31
5000,10,32
5000,6,26
4500,255,212
4500,175,203
4500,125,193
4500,100,176
4500,80,150
4500,60,129
4500,50,108
4500,40,85
4500,35,67
4500,30,47
4500,25,41
4500,20,36
4500,18,37
4500,15,33
4500,10,36
4500,6,34
4250,255,214
4250,175,201
4250,125,186
4250,100,174
4250,80,153
4250,60,131
4250,50,114
4250,40,88
4250,35,70
4250,30,64
4250,25,43
4250,20,37
4250,18,35
4250,15,33
4250,10,38
4250,6,35
4000,255,215
4000,175,206
4000,125,196
4000,100,173
4000,80,160
4000,60,139
4000,50,125
4000,40,95
4000,35,77
4000,30,59
4000,25,38
4000,20,36
4000,18,38
4000,15,39
4000,10,39
4000,6,35
3400,255,207
3400,175,198
3400,125,185
3400,100,164
3400,80,144
3400,60,124
3400,50,113
3400,40,90
3400,35,79
3400,30,64
3400,25,46
3400,20,39
3400,18,42
3400,15,42
3400,10,41
3400,6,38
2900,255,196
2900,175,193
2900,125,184
2900,100,166
2900,80,156
2900,60,131
2900,50,121
2900,40,100
2900,35,86
2900,30,70
2900,25,57
2900,20,44
2900,18,47
2900,15,38
2900,10,41
2900,6,40
2400,255,209
2400,175,203
2400,125,206
2400,100,194
2400,80,179
2400,60,154
2400,50,140
2400,40,119
2400,35,105
2400,30,86
2400,25,73
2400,20,49
2400,18,48
2400,15,51
2400,10,43
2400,6,46
2150,255,212
2150,175,204
2150,125,212
2150,100,209
2150,80,185
2150,60,162
2150,50,151
2150,40,128
2150,35,117
2150,30,99
2150,25,80
2150,20,52
2150,18,54
2150,15,52
2150,10,46
2150,6,48
1900,255,202
1900,175,194
1900,125,179
1900,100,193
1900,80,176
1900,60,156
1900,50,141
1900,40,124
1900,35,114
1900,30,97
1900,25,77
1900,20,61
1900,18,55
1900,15,44
1900,10,51
1900,6,55
1500,255,207
1500,175,198
1500,125,196
1500,100,185
1500,80,168
1500,60,164
1500,50,160
1500,40,139
1500,35,130
1500,30,109
1500,25,94
1500,20,77
1500,18,70
1500,15,60
1500,10,62
1500,6,60
1350,255,187
1350,175,186
1350,125,176
1350,100,172
1350,80,164
1350,60,157
1350,50,149
1350,40,134
1350,35,119
1350,30,115
1350,25,97
1350,20,82
1350,18,69
1350,15,67
1350,10,64
1350,6,62
1150,255,196
1150,175,182
1150,125,179
1150,100,173
1150,80,174
1150,60,152
1150,50,164
1150,40,137
1150,35,134
1150,30,120
1150,25,112
1150,20,92
1150,18,89
1150,15,70
1150,10,72
1150,6,68
1000,255,155
1000,175,149
1000,125,144
1000,100,136
1000,80,142
1000,60,169
1000,50,149
1000,40,135
1000,35,122
1000,30,120
1000,25,103
1000,20,96
1000,18,92
1000,15,77
1000,10,73
1000,6,71
800,255,174
800,175,174
800,125,174
800,100,174
800,80,174
800,60,174
800,50,149
800,40,127
800,35,122
800,30,120
800,25,96
800,20,90
800,18,97
800,15,97
800,10,95
800,6,80
400,255,0
400,175,70
400,125,70
400,100,70
400,80,80
400,60,90
400,50,105
400,40,105
400,35,105
400,30,105
400,25,103
400,20,100
400,18,100
400,15,99
400,10,94
400,6,81
0,255,0
0,175,70
0,125,70
0,100,70
0,80,80
0,60,90
0,50,100
0,40,100
0,35,100
0,30,100
0,25,100
0,20,100
0,18,100
0,15,98
0,10,93
0,6,82
