,8000,7000,6000,5000,4500,4250,4000,3400,2900,2400,2150,1900,1500,1350,1150,1000,800,400,0
255,234,228,245,208,215,227,219,208,237,233,224,172,176,156,184,174,174,0,0
175,219,224,213,185,203,211,210,212,227,227,219,172,164,153,164,184,174,70,70
125,164,164,164,170,190,214,188,192,190,212,229,169,162,149,145,184,174,70,70
100,134,139,139,153,175,175,168,166,176,196,223,189,159,149,139,184,174,70,70
80,109,114,125,129,147,148,151,149,162,175,189,178,166,184,184,184,174,80,80
60,84,99,104,114,124,123,137,127,133,152,163,162,152,154,167,169,174,90,90
50,72,86,99,93,104,102,113,116,124,138,142,143,139,145,142,149,149,103,100
40,49,54,65,68,75,77,85,92,103,118,125,119,122,124,143,135,127,103,100
35,44,46,52,55,65,65,67,69,92,100,105,111,108,119,126,128,122,103,100
30,39,39,44,52,55,60,55,59,68,88,85,86,102,105,114,120,120,103,100
25,36,36,38,35,38,45,42,46,55,69,69,76,86,93,105,125,129,120,110
20,34,34,29,36,38,38,39,43,47,58,63,63,72,77,85,90,119,105,103
18,33,33,28,32,35,36,36,39,46,54,56,52,65,73,81,85,90,100,100
15,32,32,23,28,33,34,38,36,41,41,43,47,58,63,71,74,86,99,98
10,30,30,28,32,36,38,39,41,41,43,46,51,56,61,66,69,83,94,93
6,26,26,26,26,34,35,35,38,40,46,48,55,55,59,64,67,81,81,82
