,8000,7000,6000,5000,4500,4250,4000,3400,2900,2400,2150,1900,1500,1350,1150,1000,800,400,0
255,217,217,220,206,208,223,224,229,196,161,173,190,209,190,180,164,156,164,164
175,190,190,191,189,199,211,219,222,193,154,170,186,208,194,183,164,156,156,156
125,150,156,157,168,184,195,204,206,198,164,168,184,180,194,183,164,156,156,156
100,130,136,132,151,164,180,187,189,180,163,167,185,174,170,164,158,156,156,156
80,116,116,119,135,152,158,160,163,159,150,180,161,174,170,157,159,156,156,156
60,94,90,97,111,130,137,134,138,137,135,147,162,165,161,157,150,163,163,163
50,80,74,82,94,107,120,120,124,121,124,137,139,146,147,147,146,159,159,159
40,62,69,69,67,85,94,102,102,104,111,114,132,140,142,146,146,150,150,150
35,47,56,56,62,71,78,86,85,82,98,120,114,130,130,126,127,130,127,127
30,42,52,58,60,55,64,61,70,72,83,95,96,115,119,122,122,122,122,122
25,41,41,41,41,48,49,48,56,58,68,76,81,98,96,98,98,98,98,98
20,40,40,40,41,43,44,45,56,58,58,65,69,86,93,97,108,108,108,100
18,33,33,28,32,33,43,44,55,53,47,58,65,78,81,86,89,105,105,94
15,39,39,50,50,50,53,55,60,60,47,56,59,61,73,75,87,91,92,84
10,30,30,30,32,35,35,35,37,40,47,49,53,69,69,68,71,72,72,71
6,27,27,30,37,37,38,38,40,40,42,45,45,60,60,60,66,64,64,64
